Model,Device number,Seqlen,Pipeline parallelism,Tensor parallelism,Phase,Total Latency (s),Throughput (tokens/s),Energy per Token (mJ)
Llama2-13B,20,4096,1,20,decoding,9.682289036708331,384.433950103755,333.9787123368514
Llama2-13B,20,4096,1,20,end2end,10.46994599242857,414.52185887289545,332.72835905827725
Llama2-13B,20,4096,1,20,prefill,0.845150654767857,606.4571486765143,324.9821170465584
Llama2-13B,20,4096,2,10,decoding,9.81989085670833,757.2559985457543,193.80899031473032
Llama2-13B,20,4096,2,10,end2end,10.627205215285716,815.2862538978507,192.57934035967216
Llama2-13B,20,4096,2,10,prefill,0.8648080576249999,1185.2872895047549,184.9624941199284
Llama2-13B,20,4096,4,5,decoding,10.93890551975,1354.7443376092615,165.58772212099154
Llama2-13B,20,4096,4,5,end2end,11.888446811142858,1446.704013449635,164.2821074165626
Llama2-13B,20,4096,4,5,prefill,1.0092390285357142,2030.772982927809,156.2120605960337
Llama2-13B,20,4096,5,4,decoding,11.71905774883333,1575.0583870625385,169.02571609083364
Llama2-13B,20,4096,5,4,end2end,12.771233206285713,1674.0773213423763,167.6790135131919
Llama2-13B,20,4096,5,4,prefill,1.112975213642857,2301.5586508940937,159.36295703647417
Llama2-13B,20,4096,10,2,decoding,14.276778005958333,2569.1151655971203,146.6058074281883
Llama2-13B,20,4096,10,2,end2end,15.641445157285712,2707.2162157921985,145.0042962818634
Llama2-13B,20,4096,10,2,prefill,1.4320790218035715,3576.5519763938414,135.16042355922255
Llama2-13B,20,4096,20,1,decoding,19.83425821908334,3667.6361876740793,142.51739683394638
Llama2-13B,20,4096,20,1,end2end,21.887057286571423,3824.176844705634,140.40005537580308
Llama2-13B,20,4096,20,1,prefill,2.133435166535715,4800.575267392721,127.42452350950012
Llama2-13B,20,4096,40,1,decoding,35.931584784749994,4057.400063393332,136.24717761761474
Llama2-13B,20,4096,40,1,end2end,39.55835262257144,4245.141476211304,134.35357553363409
Llama2-13B,20,4096,40,1,prefill,3.773976127345239,5428.715868706381,122.64381342107218
Llama2-70B,32,4096,1,32,decoding,34.988023042,107.34088149722528,1832.2196828046283
Llama2-70B,32,4096,1,32,end2end,37.65225911085715,116.80434460755464,1824.4461648152333
Llama2-70B,32,4096,1,32,prefill,2.894228419333334,177.11663167698816,1776.3477523872616
Llama2-70B,32,4096,2,16,decoding,35.90296191650001,208.6883398486491,1149.830020546535
Llama2-70B,32,4096,2,16,end2end,38.69790353885714,226.36275597388587,1142.162503573542
Llama2-70B,32,4096,2,16,prefill,3.024933972833333,338.8925728807129,1094.726597498083
Llama2-70B,32,4096,4,8,decoding,38.646328253750006,385.28041771215567,892.8867214893988
Llama2-70B,32,4096,4,8,end2end,41.83317935285715,414.4785539570284,885.2722050246066
Llama2-70B,32,4096,4,8,prefill,3.416843449583333,599.9007812478102,838.1675521254043
Llama2-70B,32,4096,8,4,decoding,45.45452003575,650.1407163042337,791.1451296273559
Llama2-70B,32,4096,8,4,end2end,49.536543858,690.8844385112617,783.2039427700662
Llama2-70B,32,4096,8,4,prefill,4.321694435583333,948.2873580008112,734.1458925794026
Llama2-70B,32,4096,16,2,decoding,59.151701961625,988.8630174441791,744.2441380420072
Llama2-70B,32,4096,16,2,end2end,65.03561385328571,1036.3026545013852,735.6098600185709
Llama2-70B,32,4096,16,2,prefill,6.142939030708333,1333.9193315058944,682.3965753627926
Llama2-70B,32,4096,32,1,decoding,87.2005665514375,1329.320799908289,733.9503863856777
Llama2-70B,32,4096,32,1,end2end,96.78175468735714,1374.9166463163624,723.910046484579
Llama2-70B,32,4096,32,1,prefill,9.878928326395837,1658.6505097644392,662.1607088937118
Llama2-70B,32,4096,80,1,decoding,245.4883546059584,1177.7044540288896,693.2447241503778
Llama2-70B,32,4096,80,1,end2end,273.3249424372858,1213.11895270159,687.5286890016588
Llama2-70B,32,4096,80,1,prefill,28.512120143708326,1436.8283001305226,651.7837452022405
Llama2-7B,8,4096,1,8,decoding,5.946835003083333,624.956358115463,99.58081094406435
Llama2-7B,8,4096,1,8,end2end,6.435691441238093,672.9351768018817,98.97572769293468
Llama2-7B,8,4096,1,8,prefill,0.5233314949166666,979.4273787578784,95.22519586092
Llama2-7B,8,4096,2,4,decoding,6.7383409018333325,1099.3240863985666,85.38458893317271
Llama2-7B,8,4096,2,4,end2end,7.323342598666664,1173.9952521093153,84.70194197817942
Llama2-7B,8,4096,2,4,prefill,0.6215926301666664,1648.6696081390558,80.48735293568865
Llama2-7B,8,4096,4,2,decoding,8.227432116166666,1787.9857521356444,76.71893114784822
Llama2-7B,8,4096,4,2,end2end,8.991307104190476,1891.7115083283245,75.87320670889771
Llama2-7B,8,4096,4,2,prefill,0.8046976744999998,2546.242365155761,70.68081526901612
Llama2-7B,8,4096,8,1,decoding,11.330509776833331,2573.6661797233864,75.32410742374111
Llama2-7B,8,4096,8,1,end2end,12.469973523238096,2694.069786353196,74.14819375177181
Llama2-7B,8,4096,8,1,prefill,1.1887499391666665,3446.372575414396,66.95105851448817
Llama2-7B,8,4096,32,1,decoding,39.698191927138886,2952.9166847110378,70.31565164008634
Llama2-7B,8,4096,32,1,end2end,43.474945818444446,3114.824663088742,69.17318178306444
Llama2-7B,8,4096,32,1,prefill,3.9566706913055554,4143.139420060098,62.0589532821762
