Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-7B,8,32,1,32,8,128,0.2127925,0.00032238887363,0.00932,0.22243488887363,0.237748,7.505664443956163,4263.446659378382,61.54013456466255,289.2025544352481,1.0
Llama2-7B,8,32,1,32,8,256,0.2179765,0.00032238887363,0.01108,0.2293788888736301,0.237748,7.727872443956163,4140.855097191291,62.05895328217619,284.7047882784438,1.0
Llama2-7B,8,32,1,32,8,384,0.2231605,0.00032238887363,0.01284,0.2363228888736301,0.237748,7.950080443956163,4025.116503610621,62.57777199968986,280.41598759498135,1.0
Llama2-7B,8,32,1,32,8,512,0.2283445,0.00032238887363,0.0146,0.2432668888736301,0.237748,8.172288443956164,3915.6718732395793,63.09659071720351,276.3219202442078,1.0
Llama2-7B,8,32,1,32,8,640,0.2335285,0.00032238887363,0.01636,0.2502108888736301,0.237748,8.394496443956163,3812.021389685529,63.61540943471714,272.4096178184553,1.0
Llama2-7B,8,32,1,32,8,768,0.2387125,0.00032238887363,0.01812,0.2571548888736301,0.237748,8.616704443956163,3713.716793715154,64.13422815223079,268.6672384237557,1.0
Llama2-7B,8,32,1,32,8,896,0.2438965,0.00032238887363,0.01988,0.2640988888736301,0.237748,8.838912443956163,3620.354902585423,64.65304686974443,265.0839469600608,1.0
Llama2-7B,8,32,1,32,8,1024,0.2490805,0.00032238887363,0.02164,0.2710428888736301,0.237748,9.061120443956163,3531.572082936415,65.17186558725807,261.6498103515051,1.0
Llama2-7B,8,32,1,32,8,1152,0.256915,0.00032238887363,0.0234,0.2806373888736301,0.237748,9.368144443956163,3415.831191698237,66.1910387668916,257.6378910024389,1.0
Llama2-7B,8,32,1,32,8,1280,0.262099,0.00032238887363,0.02516,0.2875813888736301,0.237748,9.590352443956164,3336.6865490085697,66.70985748440522,254.5216024647375,1.0
